merchant_mask,score,segment_type,gen_industry,log_orders,log_gmv,CTR,price_competitiveness,avg_order_value,do_click_ratio,is_active
Маленемир,0.6989891928716296,big,CEHAC,5.37989735354046,15.433032506350665,0.02780903458265876,0.8971,23336.03240740741,0.1379708825409054,1
Росенино,0.6977457008297653,medium,FMCG,6.530877627725885,15.234251295839533,0.03601547928728501,0.3728,6031.989781021898,0.09641140599175516,1
Уралинтаун,0.6977438862464648,big,Other,7.501634457883413,14.918549036585263,0.03627653002920458,0.3916,1664.810497237569,0.055726574762432014,1
Юждельхилл,0.6965733571763877,big,Pharma,7.897668150726906,15.075213957281795,0.017219378210686132,0.6835,1310.1765799256505,0.10079080694343921,1
Зорольхилл,0.6957297927173718,big,DIY,6.504288173536645,15.975179213390724,0.024329384042655812,0.548,12995.898050974512,0.0888155901854532,1
Белланорск,0.6948027861667454,big,Other,6.284134161070802,14.362430088438458,0.02289528841455329,0.6856,3229.758878504673,0.24699219249968002,1
Ясайград,0.6909997768293781,medium,Other,5.455321115357702,14.133207639259153,0.04142417367329353,0.8439,5896.8197424892705,0.13599867167949523,1
Радорск,0.6900515286181574,nano,Pharma,4.74493212836325,14.47192788061372,0.10183143158500335,1.0,16911.157894736843,0.608286252354049,1
Северонсково,0.6893029382778731,big,FMCG,6.902742737158593,15.247783037919504,0.02245921416977963,0.6427,4213.485915492958,0.04956443951186609,1
Прииремир,0.6882826541118504,medium,Other,6.07993319509559,13.735825369706388,0.025650788314673892,0.8812,2117.9036697247707,0.15080008604855125,1
Южланбург,0.6881324541741312,top100,CEHAC,6.480044561926653,16.183068359073083,0.015761231377418042,0.62,16392.162826420892,0.16879399468902437,1
Тихтерино,0.6864078526452173,top100,FMCG,7.1098794630722715,14.889063466791127,0.017245169409493635,0.7478,2392.277187244481,0.08212625499344722,1
Дархолмград,0.686384382138167,big,DIY,5.6937321388027,14.747730936622576,0.024271558686142357,0.7845,8581.56081081081,0.18128613485616998,1
Аркартаун,0.6856762074998994,medium,DIY,5.247024072160486,15.303054697225958,0.025563954390673643,0.859,23419.10582010582,0.20459482784275212,1
Беларорск,0.685083792338209,big,FMCG,6.664409020350408,14.069475027338035,0.019857818190081273,0.7193,1646.3920817369094,0.15741682559864378,1
Чистеново,0.6846096061867593,big,DIY,6.249975242259483,16.192980742505103,0.024198222750112068,0.4966,20846.425531914894,0.10490106352762962,1
Горярорск,0.6843857022158619,top100,Other,6.336825731146441,16.05850996426184,0.01228833430723769,0.7196,16704.870567375885,0.1742443571294926,1
Холанорск,0.6838529022786898,medium,CEHAC,6.3080984415095305,13.982401167727685,0.0304161949491666,0.7135,2156.2481751824816,0.08259382646894071,1
Финорпорт,0.6837899665180783,top100,FMCG,5.697093486505405,14.380750500649919,0.0221583421568498,0.8415,5925.484848484848,0.2977816166099953,1
Лунольистан,0.6831545405501753,big,FMCG,5.4510384535657,14.156434300486378,0.03591589573473269,0.9043,6061.400862068966,0.09972729263291996,1
Жаруюово,0.6816586669507368,medium,Other,6.807934943699926,15.217387871748766,0.07544677758965529,0.2308,4494.2688053097345,0.009758345849127072,1
Речкаркент,0.6798460141867761,medium,CEHAC,5.834810737062605,16.598832472857776,0.027111063490766897,0.5479,47427.14076246334,0.09809829394271403,1
Скалевчестер,0.6791696539377127,top100,Other,7.115582126184454,15.09880550272521,0.011047727578630267,0.7227,2933.7471544715445,0.12303715588152903,1
Царучестер,0.6790183601569266,medium,Pharma,8.432070937999402,16.02100991578809,0.00966681627496144,0.5176,1976.6458287954695,0.14486876717624614,1
Лесерино,0.6782301848115934,big,FMCG,6.142037405587356,14.810231621408889,0.017563898947144448,0.7786,5827.519396551724,0.14504745680214165,1
Чистбринкент,0.6781601267475929,top100,FMCG,6.734591659972948,14.516632852593728,0.028046173916650777,0.4588,2400.015476190476,0.08453997750148405,1
Южанчестер,0.6749898040676469,top100,CEHAC,6.937314081223682,17.18846325422167,0.008949970658401477,0.4366,28342.57823129252,0.19593709043250326,1
Уралбрининск,0.6746937851414305,top100,Home,6.539585955617669,16.238451640395102,0.017738879078272818,0.6141,16322.69464544139,0.06620631149102595,1
Орилск,0.6743817282850718,medium,Home,6.405228458030842,12.785813137740957,0.0214944122685374,0.935,591.2483443708609,0.25233716315310245,1
Велонкент,0.6741943299599119,medium,CEHAC,5.030437921392435,15.577582858378815,0.022665207772020295,0.9336,38319.03947368421,0.40467724790146986,1
Озерайино,0.6741610582338035,big,CEHAC,5.877735781779639,16.223333299068237,0.008786268510959708,0.8402,31207.148876404495,0.2389015521545642,1
Долдорвиль,0.6741094718090739,top100,Home,6.102558594613569,15.758513485142368,0.019742507215357807,0.7872,15649.502242152466,0.04654785413779146,1
Царкароград,0.6731751331858336,big,Other,5.497168225293202,15.762214820199665,0.019330694565020134,0.8747,28829.46502057613,0.12374403734903075,1
Солндельридж,0.67230710520927,big,FMCG,6.131226489483141,15.335550538760433,0.023471729978485928,0.5896,9961.671023965142,0.0841553469858291,1
Финевино,0.6722453036354559,medium,Other,5.921578419643816,14.480072032670774,0.019936128869009292,0.7874,5224.830645161291,0.16987126151611878,1
Устомистан,0.6720878123856708,medium,Pharma,6.829793737512425,14.236340355699674,0.018993523540279243,0.5179,1648.5108225108224,0.23887963243461577,1
Ордельск,0.6716869104543797,medium,CEHAC,6.345636360828596,14.521915465196116,0.029787795145112705,0.4724,3561.847100175747,0.08850265794518111,1
Финоино,0.6713897570055006,medium,DIY,4.343805421853684,15.035581784540847,0.05022966365387465,0.9529,44571.42105263158,0.28303834808259587,1
Финольоград,0.6704330966311265,big,Other,6.111467339502679,15.286800954135797,0.10692395080045179,0.3457,9677.444444444445,0.02864700355406675,1
Старвинтаун,0.6702295642383603,medium,Pharma,5.356586274672012,13.402544890860028,0.043308967287665055,0.8947,3135.9431279620853,0.14441193680514922,1
Светгринридж,0.6700083619226828,big,Other,5.147494476813453,15.82916653460374,0.024412709670447747,0.8509,43804.98245614035,0.1427662996720739,1
Солнбринтаун,0.6696231258098697,top100,Home,6.095824562432225,15.97670995100206,0.01812982275652537,0.8128,19597.162528216704,0.03942088585743112,1
Велуград,0.6695652273516687,medium,CEHAC,5.10594547390058,14.962688541165948,0.026395952445178398,0.9023,19203.0,0.15196078431372548,1
Светилвиль,0.6694987086856811,big,CEHAC,5.8522024797744745,16.654338463770138,0.013130770220642171,0.9123,49267.19020172911,0.0908040974825924,1
Велевкент,0.6691565329610695,big,CEHAC,6.4457198193855785,14.408403054782726,0.02300924038754926,0.6374,2876.3322734499206,0.08695561662086768,1
Царерино,0.6677705187897293,big,DIY,5.0369526024136295,15.15958194364828,0.026649866120648923,0.8428,25062.895424836603,0.2029873200085966,1
Терполск,0.6670095120067195,medium,FMCG,6.0844994130751715,14.287818405458953,0.036439750891589615,0.4842,3661.392694063927,0.093053166753252,1
Озеронполис,0.6663531165601843,medium,CEHAC,5.529429087511423,16.183024033590023,0.012854330824950952,0.8526,42513.24701195219,0.24549142657918924,1
Волбринск,0.6661651735764825,nano,CEHAC,4.6913478822291435,15.594412894013145,0.033347660536309345,0.798,54845.833333333336,0.351913628919755,1
Елярполис,0.665864770201004,medium,CEHAC,5.707110264748875,16.24110306022253,0.024656690674344294,0.6696,37696.42333333333,0.05746574374911711,1
Портдельинск,0.6657465204842029,medium,CEHAC,5.733341276897746,16.57945761080483,0.033733718669668275,0.4525,51501.06493506493,0.054826198583368235,1
Малачестер,0.6656340700733923,top100,FMCG,6.739336627357174,14.238209637718418,0.039187501799586855,0.3819,1808.1445497630332,0.029059546295619524,1
Озеркартаун,0.6654961641973758,medium,Pharma,6.09807428216624,13.391218836103715,0.023201536206287583,0.7695,1473.4954954954956,0.2132188316588399,1
Лесольхилл,0.6650275497142331,big,FMCG,5.793013608384144,14.901499506470808,0.03779921147480603,0.4923,9059.22629969419,0.07736160263903791,1
Ярдельинск,0.6649413290591439,small,DIY,4.762173934797756,14.950853282129383,0.041652744890102705,0.7412,26829.646551724138,0.3956752986310925,1
Ясорвиль,0.6648109730777966,top100,FMCG,6.464588303689961,14.35350046892208,0.023043469498094535,0.5585,2671.7004680187206,0.107439378382832,1
Уралольорск,0.6641183293559373,big,DIY,5.41610040220442,15.174163644710397,0.027664017413248393,0.7889,17370.303571428572,0.06955605203416093,1
Дармирпорт,0.6636358718553858,medium,Pharma,7.130098510125578,15.446442215967249,0.011693785750426833,0.598,4093.454326923077,0.09190532513783052,1
Берстопорт,0.6634196850111626,medium,Home,5.017279836814924,15.34023510550067,0.026390535589516626,0.8024,30625.846666666668,0.20880522013050326,1
Стардорполис,0.6617204880406692,medium,DIY,5.214935757608986,15.466606211585074,0.02828000626886115,0.7229,28484.628415300547,0.1154916746798927,1
Жаральпорт,0.6608758038503603,nano,DIY,4.406719247264253,14.7658010900209,0.037037543907668447,0.9273,31931.604938271605,0.43441310506219977,1
Скалелсково,0.660498547068466,big,Other,6.329720905522696,17.503731695435352,0.021623328329641475,0.4274,71381.5625,0.04112881166065311,1
Камилоград,0.6604233782001189,top100,FMCG,7.642524134232902,14.562711170225736,0.03395985150992165,0.1757,1012.9947216890595,0.027362515629455766,1
Ладмирпорт,0.6589142904414494,big,Pharma,7.260522598089852,14.423174466115118,0.016209843526210146,0.4723,1291.2348804500702,0.16073916481530293,1
Северстотаун,0.6589127074497696,medium,Pharma,5.056245805348308,14.942336731933468,0.038612911997481146,0.6433,19781.0641025641,0.16123054114158636,1
Яруельск,0.6572175441812701,big,Other,6.963189985870238,14.917227355985816,0.032091887620734366,0.1846,2849.7414772727275,0.017569705548901172,1
